"Report_Name","Journal Article Requests"
"Report_ID","IR_A1"
"Release","5"
"Institution_Name","Johnson Matthey"
"Institution_ID","mu-0000036"
"Metric_Types","Total_Item_Requests"
"Report_Filters","Data_Type=Journal|Article; Access_Method=Regular"
"Report_Attributes",""
"Exceptions",""
"Reporting_Period","2018-01-01 to 2018-05-31"
"Created","2018-07-03"
"Created_By","MPS"

"Item","Publisher","Publisher_ID","Platform","Authors","Publication_Date","Article_Version","DOI","Proprietary_ID","ISBN","Print_ISSN","Online_ISSN","URI","Parent_Title","Parent_Data_Type","Parent_DOI","Parent_Proprietary_ID","Parent_ISBN","Parent_Print_ISSN","Parent_Online_ISSN","Parent_URI","Metric_Type","Reporting_Period_Total","Jan-2018","Feb-2018","Mar-2018","Apr-2018","May-2018"
"Ammonia promoted barium sulfate catalyst for dehydration of lactic acid to acrylic acid","","","rsc.org","Royal Society of Chemistry","2017","","10.1039/c7ra10736f","","","","2046-2069","","RSC Advances","Journal","10.1039/2046-2069/2011","","","","2046-2069","","Total_Item_Requests","0","0","0","0","0","0"
"Interaction between functionalized graphene and sulfur compounds in a lithium–sulfur battery – a density functional theory investigation","","","rsc.org","Royal Society of Chemistry","2018","","10.1039/c7ra11628d","","","","2046-2069","","RSC Advances","Journal","10.1039/2046-2069/2011","","","","2046-2069","","Total_Item_Requests","1","0","0","0","1","0"
"Fluorine-functionalized ionic liquids with high oxygen solubility","","","rsc.org","Royal Society of Chemistry","2018","","10.1039/c7ra13403g","","","","2046-2069","","RSC Advances","Journal","10.1039/2046-2069/2011","","","","2046-2069","","Total_Item_Requests","1","0","0","0","1","0"
"Continuous flow hydrogenations using novel catalytic static mixers inside a tubular reactor","","","rsc.org","Royal Society of Chemistry","2017","","10.1039/c6re00188b","","","","2058-9883","","Reaction Chemistry & Engineering","Journal","10.1039/2058-9883/2016","","","","2058-9883","","Total_Item_Requests","1","0","0","0","0","1"
"Epoxidation of 1-octene under harsh tail-end conditions in a flow reactor I: a comparative study of crystalline vs. amorphous catalysts","","","rsc.org","Royal Society of Chemistry","2017","","10.1039/c7re00076f","","","","2058-9883","","Reaction Chemistry & Engineering","Journal","10.1039/2058-9883/2016","","","","2058-9883","","Total_Item_Requests","1","0","0","0","1","0"
"Epoxidation of 1-octene under harsh tail-end conditions in a flow reactor II: impact of delaminated-zeolite catalyst surface area and structural integrity on catalytic performance","","","rsc.org","Royal Society of Chemistry","2017","","10.1039/c7re00138j","","","","2058-9883","","Reaction Chemistry & Engineering","Journal","10.1039/2058-9883/2016","","","","2058-9883","","Total_Item_Requests","1","0","0","0","1","0"
"Overcoming catalyst deactivation during the continuous conversion of sugars to chemicals: maximising the performance of Sn-Beta with a little drop of water","","","rsc.org","Royal Society of Chemistry","2018","","10.1039/c7re00180k","","","","2058-9883","","Reaction Chemistry & Engineering","Journal","10.1039/2058-9883/2016","","","","2058-9883","","Total_Item_Requests","0","0","0","0","0","0"
"Optimisation of synthesis conditions for UiO-66-CO2H towards scale-up and its vapour sorption properties","","","rsc.org","Royal Society of Chemistry","2018","","10.1039/c7re00214a","","","","2058-9883","","Reaction Chemistry & Engineering","Journal","10.1039/2058-9883/2016","","","","2058-9883","","Total_Item_Requests","0","0","0","0","0","0"
"Enhanced hydroformylation of 1-octene in n-butane expanded solvents with Co-based complexes","","","rsc.org","Royal Society of Chemistry","2018","","10.1039/c8re00034d","","","","2058-9883","","Reaction Chemistry & Engineering","Journal","10.1039/2058-9883/2016","","","","2058-9883","","Total_Item_Requests","0","0","0","0","0","0"
"N-rich zeolite-like metal–organic framework with sodalite topology: high CO2 uptake, selective gas adsorption and efficient drug delivery","","","rsc.org","Royal Society of Chemistry","2012","","10.1039/c2sc00017b","","","2041-6520","2041-6539","","Chemical Science","Journal","10.1039/2041-6539/2010","","","2041-6520","2041-6539","","Total_Item_Requests","1","0","0","0","1","0"
"Nitrogen-doped carbon nanotubes derived from Zn–Fe-ZIF nanospheres and their application as efficient oxygen reduction electrocatalysts with in situ generated iron species","","","rsc.org","Royal Society of Chemistry","2013","","10.1039/c3sc51052b","","","2041-6520","2041-6539","","Chemical Science","Journal","10.1039/2041-6539/2010","","","2041-6520","2041-6539","","Total_Item_Requests","0","0","0","0","0","0"
"Methylation of amines, nitrobenzenes and aromatic nitriles with carbon dioxide and molecular hydrogen","","","rsc.org","Royal Society of Chemistry","2014","","10.1039/c3sc52676c","","","2041-6520","2041-6539","","Chemical Science","Journal","10.1039/2041-6539/2010","","","2041-6520","2041-6539","","Total_Item_Requests","0","0","0","0","0","0"
"Computational prediction and experimental confirmation of B-site doping in YBa2Fe3O8","","","rsc.org","Royal Society of Chemistry","2014","","10.1039/c3sc52734d","","","2041-6520","2041-6539","","Chemical Science","Journal","10.1039/2041-6539/2010","","","2041-6520","2041-6539","","Total_Item_Requests","1","0","0","0","1","0"
"A catalyst-controlled selective synthesis of pyridines and pyrroles","","","rsc.org","Royal Society of Chemistry","2014","","10.1039/c4sc00125g","","","2041-6520","2041-6539","","Chemical Science","Journal","10.1039/2041-6539/2010","","","2041-6520","2041-6539","","Total_Item_Requests","0","0","0","0","0","0"
"Spatial imaging of carbon reactivity centers in Pd/C catalytic systems","","","rsc.org","Royal Society of Chemistry","2015","","10.1039/c5sc00802f","","","2041-6520","2041-6539","","Chemical Science","Journal","10.1039/2041-6539/2010","","","2041-6520","2041-6539","","Total_Item_Requests","7","0","0","0","7","0"
"A single crystalline porphyrinic titanium metal–organic framework","","","rsc.org","Royal Society of Chemistry","2015","","10.1039/c5sc00916b","","","2041-6520","2041-6539","","Chemical Science","Journal","10.1039/2041-6539/2010","","","2041-6520","2041-6539","","Total_Item_Requests","1","0","0","0","1","0"
"Reaction-activated palladium catalyst for dehydrogenation of substituted cyclohexanones to phenols and H2 without oxidants and hydrogen acceptors","","","rsc.org","Royal Society of Chemistry","2015","","10.1039/c5sc01044f","","","2041-6520","2041-6539","","Chemical Science","Journal","10.1039/2041-6539/2010","","","2041-6520","2041-6539","","Total_Item_Requests","7","0","0","0","7","0"
"The importance of nickel oxyhydroxide deprotonation on its activity towards electrochemical water oxidation","","","rsc.org","Royal Society of Chemistry","2016","","10.1039/c5sc04486c","","","2041-6520","2041-6539","","Chemical Science","Journal","10.1039/2041-6539/2010","","","2041-6520","2041-6539","","Total_Item_Requests","1","0","0","0","1","0"
"Postsynthetic ionization of an imidazole-containing metal–organic framework for the cycloaddition of carbon dioxide and epoxides","","","rsc.org","Royal Society of Chemistry","2017","","10.1039/c6sc04357g","","","2041-6520","2041-6539","","Chemical Science","Journal","10.1039/2041-6539/2010","","","2041-6520","2041-6539","","Total_Item_Requests","1","0","0","0","1","0"
"Why conclusions from platinum model surfaces do not necessarily lead to enhanced nanoparticle catalysts for the oxygen reduction reaction","","","rsc.org","Royal Society of Chemistry","2017","","10.1039/c6sc04788b","","","2041-6520","2041-6539","","Chemical Science","Journal","10.1039/2041-6539/2010","","","2041-6520","2041-6539","","Total_Item_Requests","0","0","0","0","0","0"
"Understanding gas capacity, guest selectivity, and diffusion in porous liquids","","","rsc.org","Royal Society of Chemistry","2017","","10.1039/c6sc05196k","","","2041-6520","2041-6539","","Chemical Science","Journal","10.1039/2041-6539/2010","","","2041-6520","2041-6539","","Total_Item_Requests","2","0","0","0","1","1"
"A combined experimental and theoretical spectroscopic protocol for determination of the structure of heterogeneous catalysts: developing the information content of the resonance Raman spectra of M1 MoVO  x","","","rsc.org","Royal Society of Chemistry","2017","","10.1039/c7sc01771e","","","2041-6520","2041-6539","","Chemical Science","Journal","10.1039/2041-6539/2010","","","2041-6520","2041-6539","","Total_Item_Requests","0","0","0","0","0","0"
"Violations of Löwenstein's rule in zeolites","","","rsc.org","Royal Society of Chemistry","2017","","10.1039/c7sc02531a","","","2041-6520","2041-6539","","Chemical Science","Journal","10.1039/2041-6539/2010","","","2041-6520","2041-6539","","Total_Item_Requests","1","0","0","0","1","0"
"Exploiting rhodium-catalysed ynamide hydroacylation as a platform for divergent heterocycle synthesis","","","rsc.org","Royal Society of Chemistry","2017","","10.1039/c7sc03795c","","","2041-6520","2041-6539","","Chemical Science","Journal","10.1039/2041-6539/2010","","","2041-6520","2041-6539","","Total_Item_Requests","1","0","0","0","1","0"
"A simple route to highly active single-enzyme nanogels","","","rsc.org","Royal Society of Chemistry","2018","","10.1039/c7sc04438k","","","2041-6520","2041-6539","","Chemical Science","Journal","10.1039/2041-6539/2010","","","2041-6520","2041-6539","","Total_Item_Requests","1","0","0","0","1","0"
"Covalent triazine framework modified with coordinatively-unsaturated Co or Ni atoms for CO2 electrochemical reduction","","","rsc.org","Royal Society of Chemistry","2018","","10.1039/c8sc00604k","","","2041-6520","2041-6539","","Chemical Science","Journal","10.1039/2041-6539/2010","","","2041-6520","2041-6539","","Total_Item_Requests","1","0","0","0","1","0"
"Ultrathin palladium nanosheets with selectively controlled surface facets","","","rsc.org","Royal Society of Chemistry","2018","","10.1039/c8sc00605a","","","2041-6520","2041-6539","","Chemical Science","Journal","10.1039/2041-6539/2010","","","2041-6520","2041-6539","","Total_Item_Requests","1","0","0","0","1","0"
"Identification of Pt-based catalysts for propane dehydrogenation via a probability analysis","","","rsc.org","Royal Society of Chemistry","2018","","10.1039/c8sc00802g","","","2041-6520","2041-6539","","Chemical Science","Journal","10.1039/2041-6539/2010","","","2041-6520","2041-6539","","Total_Item_Requests","1","0","0","0","1","0"
"Protein surface functionalisation as a general strategy for facilitating biomimetic mineralisation of ZIF-8","","","rsc.org","Royal Society of Chemistry","2018","","10.1039/c8sc00825f","","","2041-6520","2041-6539","","Chemical Science","Journal","10.1039/2041-6539/2010","","","2041-6520","2041-6539","","Total_Item_Requests","0","0","0","0","0","0"
"A porous, electrically conductive hexa-zirconium(iv) metal–organic framework","","","rsc.org","Royal Society of Chemistry","2018","","10.1039/c8sc00961a","","","2041-6520","2041-6539","","Chemical Science","Journal","10.1039/2041-6539/2010","","","2041-6520","2041-6539","","Total_Item_Requests","1","0","0","0","1","0"
"Repurposing paper by-product lignosulfonate as a sulfur donor/acceptor for high performance lithium–sulfur batteries","","","rsc.org","Royal Society of Chemistry","2018","","10.1039/c7se00394c","","","","2398-4902","","Sustainable Energy & Fuels","Journal","10.1039/2398-4902/2017","","","","2398-4902","","Total_Item_Requests","1","0","0","0","1","0"
"Electrodeposition of hydrated vanadium pentoxide on nanoporous carbon cloth for hybrid energy storage","","","rsc.org","Royal Society of Chemistry","2018","","10.1039/c7se00559h","","","","2398-4902","","Sustainable Energy & Fuels","Journal","10.1039/2398-4902/2017","","","","2398-4902","","Total_Item_Requests","1","0","0","0","1","0"
"The use of solvent relaxation NMR to study colloidal suspensions","","","rsc.org","Royal Society of Chemistry","2013","","10.1039/c3sm51067k","","","1744-683X","1744-6848","","Soft Matter","Journal","10.1039/1744-6848/2005","","","1744-683X","1744-6848","","Total_Item_Requests","6","0","0","0","2","4"
"Merging fluid and solid granular behavior","","","rsc.org","Royal Society of Chemistry","2016","","10.1039/c6sm01444e","","","1744-683X","1744-6848","","Soft Matter","Journal","10.1039/1744-6848/2005","","","1744-683X","1744-6848","","Total_Item_Requests","2","0","0","0","2","0"
"Thermoelectric performance of multiphase XNiSn (X = Ti, Zr, Hf) half-Heusler alloys","","","rsc.org","Royal Society of Chemistry","2014","","10.1039/c3ta13955g","","","2050-7488","2050-7496","","Journal of Materials Chemistry A","Journal","10.1039/2050-7496/2013","","","2050-7488","2050-7496","","Total_Item_Requests","1","0","0","0","1","0"
"RuO2/rutile-TiO2: a superior catalyst for N2O decomposition","","","rsc.org","Royal Society of Chemistry","2014","","10.1039/c3ta15454h","","","2050-7488","2050-7496","","Journal of Materials Chemistry A","Journal","10.1039/2050-7496/2013","","","2050-7488","2050-7496","","Total_Item_Requests","1","0","0","0","1","0"
"Surfactants assisted synthesis of nano-LiFePO4/C composite as cathode materials for lithium-ion batteries","","","rsc.org","Royal Society of Chemistry","2015","","10.1039/c4ta03293d","","","2050-7488","2050-7496","","Journal of Materials Chemistry A","Journal","10.1039/2050-7496/2013","","","2050-7488","2050-7496","","Total_Item_Requests","1","0","0","0","1","0"
"The enhanced rate performance of LiFe0.5Mn0.5PO4/C cathode material via synergistic strategies of surfactant-assisted solid state method and carbon coating","","","rsc.org","Royal Society of Chemistry","2015","","10.1039/c4ta05431h","","","2050-7488","2050-7496","","Journal of Materials Chemistry A","Journal","10.1039/2050-7496/2013","","","2050-7488","2050-7496","","Total_Item_Requests","1","0","0","0","1","0"
"Strongly acidic mesoporous aluminosilicates prepared via hydrothermal restructuring of a crystalline layered silicate","","","rsc.org","Royal Society of Chemistry","2015","","10.1039/c5ta00548e","","","2050-7488","2050-7496","","Journal of Materials Chemistry A","Journal","10.1039/2050-7496/2013","","","2050-7488","2050-7496","","Total_Item_Requests","1","0","0","0","1","0"
"Understanding the behavior of Li–oxygen cells containing LiI","","","rsc.org","Royal Society of Chemistry","2015","","10.1039/c5ta01399b","","","2050-7488","2050-7496","","Journal of Materials Chemistry A","Journal","10.1039/2050-7496/2013","","","2050-7488","2050-7496","","Total_Item_Requests","1","0","0","0","1","0"
"The effect of a solid electrolyte interphase on the mechanism of operation of lithium–sulfur batteries","","","rsc.org","Royal Society of Chemistry","2015","","10.1039/c5ta04613k","","","2050-7488","2050-7496","","Journal of Materials Chemistry A","Journal","10.1039/2050-7496/2013","","","2050-7488","2050-7496","","Total_Item_Requests","1","0","0","0","1","0"
"The intriguing poison tolerance of non-precious metal oxygen reduction reaction (ORR) catalysts","","","rsc.org","Royal Society of Chemistry","2016","","10.1039/c5ta05794a","","","2050-7488","2050-7496","","Journal of Materials Chemistry A","Journal","10.1039/2050-7496/2013","","","2050-7488","2050-7496","","Total_Item_Requests","0","0","0","0","0","0"
"Effect of pyrolysis pressure on activity of Fe–N–C catalysts for oxygen reduction","","","rsc.org","Royal Society of Chemistry","2015","","10.1039/c5ta05995j","","","2050-7488","2050-7496","","Journal of Materials Chemistry A","Journal","10.1039/2050-7496/2013","","","2050-7488","2050-7496","","Total_Item_Requests","1","0","0","0","1","0"
"Bimetallic porous porphyrin polymer-derived non-precious metal electrocatalysts for oxygen reduction reactions","","","rsc.org","Royal Society of Chemistry","2015","","10.1039/c5ta06309d","","","2050-7488","2050-7496","","Journal of Materials Chemistry A","Journal","10.1039/2050-7496/2013","","","2050-7488","2050-7496","","Total_Item_Requests","0","0","0","0","0","0"
